Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
388,1,ConjugateGradient,50000,0.6,1,20285.31,184,21,89.76
389,1,ConjugateGradient,50000,0.9,1,19875.61,189,16,92.2
390,1,ConjugateGradient,50000,0.01,3,29684.39,179,26,87.32
391,1,ConjugateGradient,50000,0.2,3,29378.15,127,78,61.95
392,1,ConjugateGradient,50000,0.4,3,29331.59,173,32,84.39
393,1,ConjugateGradient,50000,0.6,3,35463.49,82,123,40.0
394,1,ConjugateGradient,50000,0.9,3,25999.64,127,78,61.95
395,1,ConjugateGradient,50000,0.01,5,38770.49,127,78,61.95
396,1,ConjugateGradient,50000,0.2,5,40250.78,157,48,76.59
397,1,ConjugateGradient,50000,0.4,5,45390.28,140,65,68.29
398,1,ConjugateGradient,50000,0.6,5,78788.44,131,74,63.9
399,1,ConjugateGradient,50000,0.9,5,32722.49,127,78,61.95
400,2,QuasiNewton,10,-,1,14603.39,127,78,61.95
401,2,QuasiNewton,10,-,3,25707.77,127,78,61.95
402,2,QuasiNewton,10,-,5,38148.87,127,78,61.95
403,2,QuasiNewton,20,-,1,16046.22,175,30,85.37
404,2,QuasiNewton,20,-,3,25538.67,127,78,61.95
405,2,QuasiNewton,20,-,5,40147.03,127,78,61.95
