Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
739,2,ConjugateGradient,5000,0.01,1,2539.32,176,29,85.85
740,2,ConjugateGradient,5000,0.2,1,2520.22,178,27,86.83
741,2,ConjugateGradient,5000,0.4,1,3806.09,180,25,87.8
742,2,ConjugateGradient,5000,0.6,1,2658.6,177,28,86.34
743,2,ConjugateGradient,5000,0.9,1,2661.86,185,20,90.24
744,2,ConjugateGradient,5000,0.01,3,3962.2,127,78,61.95
745,2,ConjugateGradient,5000,0.2,3,3695.74,127,78,61.95
746,2,ConjugateGradient,5000,0.4,3,4235.66,165,40,80.49
747,2,ConjugateGradient,5000,0.6,3,3502.31,127,78,61.95
748,2,ConjugateGradient,5000,0.9,3,3589.45,172,33,83.9
749,2,ConjugateGradient,5000,0.01,5,5244.76,127,78,61.95
750,2,ConjugateGradient,5000,0.2,5,4867.2,127,78,61.95
751,2,ConjugateGradient,5000,0.4,5,4596.34,127,78,61.95
752,2,ConjugateGradient,5000,0.6,5,6077.41,127,78,61.95
753,2,ConjugateGradient,5000,0.9,5,5804.42,127,78,61.95
754,2,ConjugateGradient,10000,0.01,1,4933.91,177,28,86.34
755,2,ConjugateGradient,10000,0.2,1,4763.67,180,25,87.8
756,2,ConjugateGradient,10000,0.4,1,4764.72,187,18,91.22
757,2,ConjugateGradient,10000,0.6,1,4777.19,179,26,87.32
758,2,ConjugateGradient,10000,0.9,1,5168.07,187,18,91.22
759,2,ConjugateGradient,10000,0.01,3,7119.46,127,78,61.95
760,2,ConjugateGradient,10000,0.2,3,7102.97,180,25,87.8
761,2,ConjugateGradient,10000,0.4,3,6958.73,176,29,85.85
762,2,ConjugateGradient,10000,0.6,3,6742.15,127,78,61.95
763,2,ConjugateGradient,10000,0.9,3,6057.28,127,78,61.95
764,2,ConjugateGradient,10000,0.01,5,10747.81,127,78,61.95
765,2,ConjugateGradient,10000,0.2,5,8600.14,127,78,61.95
766,2,ConjugateGradient,10000,0.4,5,11486.34,148,57,72.2
767,2,ConjugateGradient,10000,0.6,5,8431.33,127,78,61.95
768,2,ConjugateGradient,10000,0.9,5,8034.49,127,78,61.95
769,2,ConjugateGradient,20000,0.01,1,9200.32,177,28,86.34
